provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,GenomicGC,GenomicOffTAG,GenomicOffTGA,GenomicOffTAA,Genomic Gs,Genomic Cs,Genomic As,Genomic Ts
00001GCF_000001735.3_TAIR10_Genomic.fna,7,0.39234931861627836,1241255,1932547,1960487,18323713,18320942,28386515,28366864
00002GCF_000002425.3_V1.1_Genomic.fna,1990,0.3900616575580118,3058725,4417540,4528806,43077553,43076853,67402515,67316893
00003GCF_000002595.1_v3.0_Genomic.fna,1558,0.5964482060696752,500657,930610,368127,21083198,21087062,14260138,14271902
00004GCF_000002775.3_Poptr2_0_Genomic.fna,2514,0.3866860858103939,3622004,5493294,5646912,50400445,50470265,80035687,79953028
00005GCF_000003195.2_Sorbi1_Genomic.fna,3306,0.45101493363467776,4707875,6062499,5304179,77078472,77086335,93855386,93797329
00006GCF_000003195.3_Sorghum_bicolor_NCBIv3_Genomic.fna,869,0.4513400515827162,4675456,6022800,5264398,76640221,76654019,93202162,93146046
00007GCF_000003745.3_12X_Genomic.fna,1907,0.38768160042275196,4436398,6546543,6343759,59509620,59518121,94033732,93963005
00008GCF_000004075.2_ASM407v2_Genomic.fna,190,0.3782448934411951,1882663,2750049,2935913,24919350,24933201,40991734,40955382
00009GCF_000004255.1_v.1.0_Genomic.fna,695,0.39060064481761775,1754192,2741072,2843040,26262800,26272884,40958400,41005653
00010GCF_000004255.2_v.1.0_Genomic.fna,696,0.39056946731952386,1756483,2743849,2846821,26290475,26301525,41007055,41055608
00011GCF_000004515.4_Glycine_max_v2.0_Genomic.fna,1191,0.3755848789647379,7491753,11049066,11963190,98065838,98087273,163018648,163088646
00012GCF_000005005.1_B73_RefGen_v3_Genomic.fna,523,0.45386218094254255,8913195,11288450,10813906,150643782,150681069,181256264,181331552
00013GCF_000005005.2_B73_RefGen_v4_Genomic.fna,267,0.45378620282630777,9011122,11402206,10912862,151781149,151719537,182561753,182756234
00014GCF_000005505.2_Brachypodium_distachyon_v2.0_Genomic.fna,28,0.46128697376693634,2559796,3778158,3139843,49681782,49706232,58043615,58026469
00015GCF_000090985.2_ASM9098v2_Genomic.fna,19,0.5999065086778428,60251,209027,69495,4697982,4683245,3126145,3130443
00016GCF_000091205.1_ASM9120v1_Genomic.fna,20,0.5457055982103071,109089,217872,75969,4138944,4137202,3447733,3442075
00017GCF_000092065.1_ASM9206v1_Genomic.fna,21,0.5414329354196489,41118,138142,57055,2368417,2364434,2007315,2001177
