provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,Uncounted,%Uncounted,TGA,TAG,TAA,%TGA,%TAG,%TAA,CDSGC,OffTGA,OffTAG,OffTAA,%OffTGA,%OffTAG,%OffTAA,CDS Gs,CDS Cs,CDS As,CDS Ts
00001GCF_000001215.4_Release_6_plus_ISO1_MT_CDS.fna,30489,797,0.026140575289448655,7579,10138,11975,0.2552539404553415,0.34143877138623197,0.40330728815842654,0.5397646963990133,873213,279933,451354,0.544227485197881,0.17446743533811157,0.28130507946400746,16261520,16469191,15532600,12375540
00002GCF_000001765.3_Dpse_3.0_CDS.fna,23601,844,0.03576119655946782,6122,7606,9029,0.26901612690600696,0.3342268313046535,0.39675704178933957,0.561206954091477,648223,168638,246491,0.6096034050812901,0.15859094636583182,0.23180564855287808,13001950,13298538,11548042,9015622
00003GCF_000002075.1_AplCal3.0_CDS.fna,35625,10917,0.3064421052631579,11866,6082,6760,0.48024931196373644,0.24615509146835032,0.2735955965679132,0.509004887478159,1004632,254954,287998,0.6491615317811504,0.1647432384930317,0.1860952297258178,12311635,11710587,12722494,10449766
00004GCF_000002195.4_Amel_4.5_CDS.fna,23234,1820,0.07833347680123956,6745,3343,11326,0.31498085364714673,0.15611282338656954,0.5289063229662837,0.42865842154029715,795252,475745,752319,0.3930438942804782,0.23513133885166726,0.37182476686785454,10425174,9215867,14642448,11536306
00005GCF_000002235.4_Spur_4.2_CDS.fna,37147,3600,0.09691226747785824,13808,8323,11416,0.4116016335290786,0.24809968104450472,0.34029868542641667,0.4851920246235897,1296052,495347,494085,0.5670798832982423,0.21673614866697818,0.21618396803477952,14751829,14153203,17047884,13621501
00006GCF_000002325.3_Nvit_2.1_CDS.fna,25828,1982,0.07673842341644727,8781,4839,10226,0.36823785959909416,0.2029271156588107,0.4288350247420951,0.48697380356564024,783576,366864,547486,0.4614900767171243,0.21606595340432974,0.32244396987854596,11676207,11428101,13818055,10522300
00007GCF_000002335.3_Tcas5.2_CDS.fna,22675,666,0.029371554575523706,6064,4510,11435,0.27552364941614793,0.20491617065745832,0.5195601799263937,0.46947320399542186,802344,307733,571491,0.47714038326133706,0.18300360140059754,0.3398560153380654,10785957,10415259,13336464,10621907
00008GCF_000002865.3_V1.0_CDS.fna,9807,1482,0.15111654940348732,3283,2219,2823,0.39435435435435434,0.2665465465465465,0.3390990990990991,0.5713958260578997,285574,44929,41409,0.7678536858181505,0.12080545935597668,0.11134085482587279,4484030,4996125,3532029,3579038
00009GCF_000002985.6_WBcel235_CDS.fna,29818,1245,0.04175330337380106,9512,5061,14000,0.3329016904070276,0.1771252581108039,0.48997305148216846,0.43465792466984776,902009,210653,397126,0.5974408327526779,0.13952488693776874,0.2630342803095534,9115940,8696390,12438799,10728982
00010GCF_000002995.3_ASM299v2_CDS.fna,12310,1810,0.14703493095044678,3689,1934,4877,0.35133333333333333,0.18419047619047618,0.4644761904761905,0.39636771643735064,308832,111832,210573,0.48924888750184164,0.17716325247094197,0.3335878600272164,2766558,2302406,4101678,3617897
