provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,Uncounted,%Uncounted,TGA,TAG,TAA,%TGA,%TAG,%TAA,CDSGC,OffTGA,OffTAG,OffTAA,%OffTGA,%OffTAG,%OffTAA,CDS Gs,CDS Cs,CDS As,CDS Ts
00001GCF_000836925.1_ViralProj14039_CDS.fna,10,1,0.1,2,1,6,1.2,1.1,1.6,0.4310193321616872,146,28,128,0.48344370860927155,0.09271523178807947,0.423841059602649,1565,1378,1920,1965
00002GCF_000838705.1_ViralProj14073_CDS.fna,9,2,0.2222222222222222,4,0,3,1.5,1.0,1.375,0.4904876741693462,163,61,87,0.5241157556270096,0.19614147909967847,0.2797427652733119,1926,1735,1984,1819
00003GCF_000857945.1_ViralProj15128_CDS.fna,168,6,0.03571428571428571,32,21,109,1.196319018404908,1.1288343558282208,1.668711656441718,0.4143734064959539,2559,1192,2850,0.38766853507044385,0.18057870019693986,0.43175276473261626,30169,29640,45781,38746
00004GCF_000857925.1_ViralProj15124_CDS.fna,45,2,0.044444444444444446,15,4,24,1.3409090909090908,1.0909090909090908,1.5454545454545454,0.3966166613469518,734,360,762,0.3954741379310345,0.1939655172413793,0.4105603448275862,6765,5661,10561,8343
00005GCF_000857905.1_ViralMultiSegProj15120_CDS.fna,3,1,0.3333333333333333,1,0,1,1.3333333333333333,1.0,1.3333333333333333,0.573714905737149,86,30,50,0.5180722891566265,0.18072289156626506,0.30120481927710846,1866,2364,1517,1626
00006GCF_000857885.1_ViralProj15115_CDS.fna,37,2,0.05405405405405406,11,7,17,1.3055555555555556,1.1944444444444444,1.4722222222222223,0.49693913246268656,569,261,380,0.47024793388429753,0.21570247933884298,0.3140495867768595,8277,8770,9256,8001
00007GCF_000857865.1_ViralProj15107_CDS.fna,36,1,0.027777777777777776,11,8,16,1.3055555555555556,1.2222222222222223,1.4444444444444444,0.5618471207844735,496,214,305,0.4886699507389163,0.21083743842364533,0.30049261083743845,9276,10033,8066,6992
00008GCF_000857845.1_ViralProj15101_CDS.fna,31,1,0.03225806451612903,6,8,16,1.1935483870967742,1.2580645161290323,1.5161290322580645,0.47496090240574984,496,349,463,0.37920489296636084,0.2668195718654434,0.35397553516819574,7004,7270,8434,7345
00009GCF_000857825.1_ViralProj15096_CDS.fna,3,1,0.3333333333333333,1,1,0,1.3333333333333333,1.3333333333333333,1.0,0.43283435099468187,276,136,130,0.5092250922509225,0.25092250922509224,0.23985239852398524,2435,1960,2953,2806
00010GCF_000857805.1_ViralProj15092_CDS.fna,1,1,1.0,0,0,0,1.0,1.0,1.0,0.44639666468135797,184,52,80,0.5822784810126582,0.16455696202531644,0.25316455696202533,1508,1490,1826,1892
00011GCF_000857785.1_ViralProj15087_CDS.fna,2,1,0.5,1,0,0,1.5,1.0,1.0,0.49700843078596685,178,52,65,0.6033898305084746,0.17627118644067796,0.22033898305084745,1896,1759,1854,1845
00012GCF_000857765.1_ViralProj15083_CDS.fna,5,1,0.2,2,1,1,1.4,1.2,1.2,0.4684424616192101,192,81,101,0.5133689839572193,0.21657754010695188,0.2700534759358289,2015,1555,2234,1817
00013GCF_000838685.1_ViralProj14069_CDS.fna,5,2,0.4,1,0,2,1.25,1.0,1.5,0.4974160206718346,44,18,19,0.5432098765432098,0.2222222222222222,0.2345679012345679,576,579,616,551
00014GCF_000857745.1_ViralProj15079_CDS.fna,6,1,0.16666666666666666,3,1,1,1.5,1.1666666666666667,1.1666666666666667,0.4854945054945055,148,51,87,0.5174825174825175,0.17832167832167833,0.3041958041958042,2187,2231,2533,2149
00015GCF_000857725.1_ViralProj15284_CDS.fna,1,1,1.0,0,0,0,1.0,1.0,1.0,0.4970206115072775,285,70,48,0.707196029776675,0.17369727047146402,0.11910669975186104,2928,2160,2768,2381
00016GCF_000857705.1_ViralProj15280_CDS.fna,64,6,0.09375,12,11,35,1.2033898305084745,1.1864406779661016,1.5932203389830508,0.35832168518109814,925,658,1252,0.3262786596119929,0.23209876543209876,0.4416225749559083,8353,6259,15402,10765
00017GCF_000857685.1_ViralProj15276_CDS.fna,77,4,0.05194805194805195,11,14,48,1.1486486486486487,1.1891891891891893,1.6486486486486487,0.36176288610727714,895,664,1279,0.3153629316420014,0.2339675828047921,0.45066948555320646,8531,6671,15640,11180
00018GCF_000857665.1_ViralProj15272_CDS.fna,77,2,0.025974025974025976,23,10,42,1.3026315789473684,1.131578947368421,1.5526315789473686,0.36607431340872376,1014,726,1311,0.33235004916420846,0.23795476892822026,0.4296951819075713,8890,6972,15672,11796
00019GCF_000857645.1_ViralProj15268_CDS.fna,79,4,0.05063291139240506,14,17,44,1.1842105263157894,1.2236842105263157,1.5789473684210527,0.3416181200656785,1066,745,1413,0.33064516129032256,0.23107940446650124,0.43827543424317617,8865,6323,17173,12098
00020GCF_000857625.1_ViralProj15264_CDS.fna,77,3,0.03896103896103896,15,20,39,1.2,1.2666666666666666,1.52,0.3447563892735742,955,619,1268,0.33603096410978184,0.21780436312456017,0.44616467276565797,7817,5875,15000,11023
00021GCF_000857605.1_ViralProj15260_CDS.fna,71,5,0.07042253521126761,12,15,39,1.1791044776119404,1.2238805970149254,1.582089552238806,0.3465253748558247,944,690,1337,0.3177381353079771,0.23224503534163582,0.45001682935038706,8269,6152,15879,11316
00022GCF_000857585.1_ViralProj15255_CDS.fna,84,2,0.023809523809523808,33,4,45,1.3975903614457832,1.0481927710843373,1.5421686746987953,0.5247634406512911,1060,201,399,0.6385542168674698,0.1210843373493976,0.24036144578313254,13990,13018,12624,11835
00023GCF_000857565.1_ViralProj15251_CDS.fna,12,1,0.08333333333333333,6,2,3,1.5,1.1666666666666667,1.25,0.409916889702775,329,221,317,0.37946943483275664,0.2549019607843137,0.36562860438292966,3009,2811,4527,3851
00024GCF_000838665.2_ViralProj14065_CDS.fna,2,1,0.5,1,0,0,1.5,1.0,1.0,0.44357272178636087,31,29,37,0.31958762886597936,0.29896907216494845,0.38144329896907214,384,351,482,440
00025GCF_000857545.1_ViralProj15247_CDS.fna,3,1,0.3333333333333333,0,1,1,1.0,1.3333333333333333,1.3333333333333333,0.49076127124907615,24,47,52,0.1951219512195122,0.3821138211382114,0.42276422764227645,902,1090,1300,767
00026GCF_000857525.1_ViralProj15243_CDS.fna,6,1,0.16666666666666666,1,0,4,1.1666666666666667,1.0,1.6666666666666665,0.4082599864590386,89,154,188,0.20649651972157773,0.35730858468677495,0.4361948955916473,2219,1399,3413,1831
00027GCF_000857505.1_ViralProj15239_CDS.fna,3,1,0.3333333333333333,1,0,1,1.3333333333333333,1.0,1.3333333333333333,0.41064225876512567,182,66,90,0.5384615384615384,0.1952662721893491,0.26627218934911245,1466,1181,2335,1464
00028GCF_000857485.1_ViralProj15231_CDS.fna,6,1,0.16666666666666666,1,1,3,1.1666666666666667,1.1666666666666667,1.5,0.447329595750959,37,28,46,0.3333333333333333,0.25225225225225223,0.4144144144144144,727,789,1017,856
00029GCF_000857465.1_ViralProj15227_CDS.fna,67,3,0.04477611940298507,19,11,34,1.2923076923076924,1.1692307692307693,1.523076923076923,0.44928958579617695,1024,485,835,0.43686006825938567,0.2069112627986348,0.3562286689419795,10766,9377,12956,11734
00030GCF_000857445.1_ViralProj15223_CDS.fna,245,6,0.024489795918367346,129,15,95,1.5375,1.0625,1.3958333333333333,0.37735594318734134,4656,2180,3849,0.43575105287786614,0.2040243331773514,0.3602246139447824,37835,32040,60144,55151
00031GCF_000857425.1_ViralProj15219_CDS.fna,4,1,0.25,1,1,1,1.25,1.25,1.25,0.3810334346504559,158,95,186,0.35990888382687924,0.2164009111617312,0.42369020501138954,1654,1480,2774,2317
00032GCF_000857405.1_ViralProj15215_CDS.fna,7,2,0.2857142857142857,2,1,2,1.3333333333333333,1.1666666666666667,1.3333333333333333,0.4298162014976174,345,221,244,0.42592592592592593,0.27283950617283953,0.3012345679012346,3362,2952,4547,3829
00033GCF_000857385.1_ViralProj15211_CDS.fna,6,1,0.16666666666666666,1,1,3,1.1666666666666667,1.1666666666666667,1.5,0.45955555555555555,45,27,58,0.34615384615384615,0.2076923076923077,0.4461538461538462,756,795,973,851
00034GCF_000857365.1_ViralProj15207_CDS.fna,6,1,0.16666666666666666,1,2,2,1.1666666666666667,1.3333333333333333,1.3333333333333333,0.38752880184331795,118,108,141,0.3215258855585831,0.29427792915531337,0.38419618528610355,1315,1376,2566,1687
00035GCF_000838665.1_ViralMultiSegProj14065_CDS.fna,6,1,0.16666666666666666,2,1,2,1.3333333333333333,1.1666666666666667,1.3333333333333333,0.45260223048327136,60,56,77,0.31088082901554404,0.29015544041450775,0.39896373056994816,990,958,1290,1066
00036GCF_000857345.1_ViralProj15203_CDS.fna,7,1,0.14285714285714285,1,2,3,1.1428571428571428,1.2857142857142856,1.4285714285714286,0.44063613929256923,52,23,72,0.35374149659863946,0.1564625850340136,0.4897959183673469,802,805,1094,946
00037GCF_000857325.2_ViralProj15199_CDS.fna,7,1,0.14285714285714285,2,1,3,1.2857142857142856,1.1428571428571428,1.4285714285714286,0.4056192034915439,323,146,268,0.43826322930800543,0.19810040705563092,0.36363636363636365,2891,3057,4674,4042
00038GCF_000857305.1_ViralProj15195_CDS.fna,7,1,0.14285714285714285,1,0,5,1.1428571428571428,1.0,1.7142857142857144,0.44924760601915187,45,36,67,0.30405405405405406,0.24324324324324326,0.4527027027027027,789,853,1083,930
00039GCF_000857285.1_ViralProj15191_CDS.fna,54,1,0.018518518518518517,13,5,35,1.2407407407407407,1.0925925925925926,1.6481481481481481,0.2651318101933216,645,548,1062,0.2860310421286031,0.24301552106430155,0.47095343680709534,4308,3235,11605,9302
00040GCF_000857265.1_ViralProj15187_CDS.fna,3,1,0.3333333333333333,0,0,2,1.0,1.0,1.6666666666666665,0.5679739467849224,223,73,102,0.5603015075376885,0.18341708542713567,0.2562814070351759,4089,4108,3519,2716
00041GCF_000857245.1_ViralProj15183_CDS.fna,2,1,0.5,0,0,1,1.0,1.0,1.5,0.42318634423897583,273,99,112,0.5640495867768595,0.20454545454545456,0.23140495867768596,2379,1786,3213,2464
00042GCF_000857225.1_ViralMultiSegProj15179_CDS.fna,10,1,0.1,4,2,3,1.4,1.2,1.3,0.44000736105999266,69,51,97,0.31797235023041476,0.2350230414746544,0.4470046082949309,1163,1228,1607,1436
00043GCF_000857185.1_ViralProj15171_CDS.fna,7,1,0.14285714285714285,2,0,4,1.2857142857142856,1.0,1.5714285714285714,0.4570918577509268,134,111,93,0.39644970414201186,0.32840236686390534,0.27514792899408286,1748,1581,2089,1865
00044GCF_000857165.1_ViralMultiSegProj15167_CDS.fna,2,1,0.5,1,0,0,1.5,1.0,1.0,0.46159420289855074,239,72,99,0.5829268292682926,0.17560975609756097,0.24146341463414633,2377,2082,2371,2830
00045GCF_000857125.1_ViralProj15158_CDS.fna,58,2,0.034482758620689655,24,6,26,1.4210526315789473,1.1052631578947367,1.456140350877193,0.5083080690298507,592,301,677,0.37707006369426754,0.19171974522292995,0.43121019108280256,9419,8018,9184,7683
00046GCF_000838645.1_ViralProj14060_CDS.fna,9,2,0.2222222222222222,3,0,4,1.375,1.0,1.5,0.532177014102772,169,18,76,0.6425855513307985,0.06844106463878327,0.2889733840304182,3174,3392,3294,2478
00047GCF_000857105.1_ViralProj15154_CDS.fna,4,2,0.5,1,0,1,1.3333333333333333,1.0,1.3333333333333333,0.5168590522478737,139,24,31,0.7164948453608248,0.12371134020618557,0.15979381443298968,1688,1715,1443,1738
00048GCF_000857085.1_ViralProj15150_CDS.fna,38,2,0.05263157894736842,12,7,17,1.3243243243243243,1.1891891891891893,1.4594594594594594,0.499567573800738,581,259,381,0.47583947583947583,0.21212121212121213,0.31203931203931207,8469,8860,9248,8111
00049GCF_000857065.1_ViralProj15146_CDS.fna,5,1,0.2,1,2,1,1.2,1.4,1.2,0.48999444135630904,61,36,38,0.45185185185185184,0.26666666666666666,0.2814814814814815,887,876,1014,821
00050GCF_000857045.1_ViralProj15142_CDS.fna,191,7,0.03664921465968586,40,24,120,1.2162162162162162,1.1297297297297297,1.6486486486486487,0.3393984232307586,3389,3357,5145,0.2850054663190648,0.28231435539483646,0.4326801782860987,31477,27243,61019,53273
00051GCF_000857025.1_ViralProj15137_CDS.fna,149,4,0.026845637583892617,23,19,103,1.1575342465753424,1.13013698630137,1.7054794520547945,0.47120662309947103,1976,743,2142,0.40650072001645754,0.15284920798189672,0.44065007200164574,28477,28269,34172,29509
00052GCF_000857005.1_ViralProj15133_CDS.fna,147,7,0.047619047619047616,22,29,89,1.1560283687943262,1.2056737588652482,1.6312056737588652,0.5138743740019563,1584,646,1601,0.413469068128426,0.16862438005742625,0.41790655181414776,30518,30946,31169,26976
00053GCF_000856985.1_ViralMultiSegProj15129_CDS.fna,3,2,0.6666666666666666,0,0,1,1.0,1.0,1.5,0.4409178640360283,100,65,89,0.3937007874015748,0.2559055118110236,0.35039370078740156,1060,996,1383,1224
00054GCF_000856965.1_ViralProj15125_CDS.fna,5,1,0.2,2,2,0,1.4,1.4,1.0,0.41566170712607675,163,63,78,0.5361842105263158,0.20723684210526316,0.2565789473684211,1177,1477,2021,1710
00055GCF_000856945.1_ViralProj15121_CDS.fna,1,1,1.0,0,0,0,1.0,1.0,1.0,0.3953247351450944,221,144,191,0.39748201438848924,0.2589928057553957,0.3435251798561151,2014,1419,2524,2727
00056GCF_000856925.1_ViralProj15117_CDS.fna,7,1,0.14285714285714285,1,4,1,1.1428571428571428,1.5714285714285714,1.1428571428571428,0.5004953998584571,129,47,35,0.6113744075829384,0.22274881516587677,0.16587677725118483,1733,1803,1892,1637
