provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,Uncounted,%Uncounted,TGA,TAG,TAA,%TGA,%TAG,%TAA,CDSGC,OffTGA,OffTAG,OffTAA,%OffTGA,%OffTAG,%OffTAA,CDS Gs,CDS Cs,CDS As,CDS Ts
00001GCF_000001405.33_GRCh38.p7_CDS.fna,115524,4864,0.042103805269900624,55248,24747,30665,0.4992589915055124,0.22363094162298933,0.2771100668714983,0.5128171903385752,4649536,1336362,1857636,0.5927858539275791,0.17037753645231857,0.23683660962010236,58900069,58067726,61102893,50017990
00002GCF_000001405.34_GRCh38.p8_CDS.fna,115793,4938,0.042645064900296216,55368,24763,30724,0.49946326282080195,0.22338189526859412,0.27715484191060397,0.512865852131127,4654152,1337277,1858437,0.5928957258633459,0.17035666596092214,0.23674760817573193,58966323,58145425,61161231,50074741
00003GCF_000001405.35_GRCh38.p9_CDS.fna,115827,4942,0.04266708107781433,55379,24770,30736,0.49942733462596384,0.22338458763583893,0.27718807773819726,0.5128611987894194,4655965,1337765,1859241,0.5928921678177597,0.17035145042557778,0.23675638175666255,58986307,58164657,61182937,50092356
00004GCF_000001405.36_GRCh38.p10_CDS.fna,115852,4939,0.042631978731485,55390,24774,30749,0.4994004309684167,0.2233642584728571,0.2772353105587262,0.5128557746760181,4657087,1338049,1859773,0.5928887272914302,0.17034557625046962,0.23676569645810028,58997952,58174293,61195559,50102364
00005GCF_000001405.37_GRCh38.p11_CDS.fna,116236,4994,0.04296431398189889,55574,24849,30819,0.4995774977077003,0.2233778608798835,0.2770446414124162,0.5132301110155225,4666512,1340074,1861917,0.5930622381411051,0.170308634310745,0.23662912754814988,59146818,58443649,61315297,50212646
00006GCF_000001515.7_Pan_tro_3.0_CDS.fna,80721,2849,0.035294409137646955,38902,17323,21647,0.4995633860694473,0.2224547976166016,0.2779818163139511,0.5148104347164696,3383714,993485,1362452,0.589533056975067,0.17309153465951152,0.2373754083654215,43411113,42792233,44692875,36550552
00007GCF_000001545.4_P_pygmaeus_2.0.2_CDS.fna,40403,5572,0.13791055119669332,16793,7775,10263,0.482127989434699,0.22322069420918147,0.2946513163561196,0.515306791919428,1129262,329335,453077,0.5907189196484338,0.17227571228148733,0.23700536807007888,14601449,14388832,14841068,12426945
00008GCF_000001635.24_GRCm38.p4_CDS.fna,79189,2919,0.03686118021442372,38167,18084,20019,0.5004195620820768,0.23710502163366987,0.2624754162842533,0.5197602729630563,3231891,929741,1148352,0.6086442068375347,0.1750929946304923,0.21626279853197297,41755292,41572071,42168825,34822650
00009GCF_000001635.25_GRCm38.p5_CDS.fna,79281,2926,0.036906698956874914,38213,18100,20042,0.5004649335341497,0.2370506188199856,0.2624844476458647,0.5200132745262344,3234148,930410,1149131,0.6086445781828782,0.17509681127367446,0.2162586105434473,41788877,41684165,42199665,34848276
00010GCF_000001895.5_Rnor_6.0_CDS.fna,57650,2619,0.04542931483087598,27213,13119,14699,0.4945030982537115,0.23839290581672148,0.26710399592956696,0.5211449027091632,2135123,616372,753734,0.6091251099428882,0.17584357541261927,0.21503131464449254,27862459,27710747,27866831,23196727
00011GCF_000001905.1_Loxafr3.0_CDS.fna,30158,1061,0.03518137807546919,13977,6578,8542,0.4803587998762759,0.22607141629721278,0.29356978382651133,0.5130769919763711,1065920,314142,427362,0.5897454056159485,0.17380647817003647,0.2364481162140151,13606304,13448313,13897414,11778100
00012GCF_000002165.2_Mm_Celera_CDS.fna,33977,4895,0.1440680460311387,14409,6829,7844,0.49546110996492676,0.23481878825390276,0.2697201017811705,0.5198095949920732,991750,282812,350903,0.6101331003743544,0.17398836640592077,0.2158785332197248,12920415,12809374,12848545,10920154
00013GCF_000002265.2_Rn_Celera_CDS.fna,29855,2344,0.07851281192430079,13401,6491,7619,0.4871142452110065,0.23594198684162698,0.2769437679473665,0.5151947374187807,1030917,302599,381703,0.6010410332441514,0.1764200373246798,0.22253892943116885,13297241,13170545,13587666,11318881
00014GCF_000002275.2_Ornithorhynchus_anatinus_5.0.1_CDS.fna,29028,8503,0.2929240733085297,9727,4667,6131,0.4739098660170524,0.2273812423873325,0.2987088915956151,0.5352020684836556,626585,178416,252831,0.5923294058035681,0.16866194253907993,0.23900865165735202,9465332,9423401,9035514,7368466
00015GCF_000002285.3_CanFam3.1_CDS.fna,47541,1613,0.033928608990134834,22597,10670,12661,0.49200923184114265,0.2323201532834001,0.27567061487545724,0.5209242079395959,1887988,547886,747548,0.5930687166200397,0.17210599160274698,0.2348252917772133,25039130,24659070,25035363,20670335
00016GCF_000002295.2_MonDom5_CDS.fna,49499,1588,0.03208145619103416,21939,10115,15857,0.4579115443217633,0.21112061948195612,0.3309678361962806,0.47927661849586256,2056234,700167,929612,0.5578477341235638,0.18995239571862607,0.2521998701578101,23153790,22636544,27229406,22520773
00017GCF_000002305.2_EquCab2.0_CDS.fna,36757,1576,0.0428761868487635,17371,7929,9881,0.49376083681532645,0.22537733435661295,0.2808618288280606,0.5200457581381304,1294933,359361,494661,0.6025873040617417,0.1672259307430821,0.23018676519517625,16957361,16743339,16930463,14172173
00018GCF_000003025.5_Sscrofa10.2_CDS.fna,50693,5814,0.1146903911782692,22380,10131,12368,0.49867421288353125,0.22574032398226343,0.2755854631342053,0.5344957670551547,1443085,389760,543476,0.607276963002894,0.16401824500982823,0.2287047919872778,20479031,20423055,19386200,16236335
00019GCF_000003025.6_Sscrofa11.1_CDS.fna,63841,1835,0.02874328409642706,31290,13833,16883,0.5046285843305487,0.22309131374383123,0.2722801019256201,0.5303713113620198,2542813,698089,974661,0.6031965362633651,0.1655980470461478,0.23120541669048714,35303773,35152507,34252629,28134400
00020GCF_000003055.6_Bos_taurus_UMD_3.1.1_CDS.fna,50872,3201,0.06292262934423652,23994,11019,12658,0.5033248725640327,0.23114681882066665,0.2655283086153007,0.534249468272511,1825934,477481,669470,0.614195974617249,0.16061199810958043,0.22519202727317067,25433130,25294083,24221370,20001840
00021GCF_000003205.7_Btau_5.0.1_CDS.fna,30309,2163,0.071364941106602,14038,6453,7655,0.49875648404746675,0.22926881261991047,0.27197470333262275,0.5361894544381,1033081,271798,383321,0.6119423054140505,0.16099869683686768,0.22705899774908186,14587464,14633472,13782705,11493768
00022GCF_000003625.3_OryCun2.0_CDS.fna,41641,4719,0.11332580869815806,18962,8503,9457,0.5135691457667515,0.230296300308759,0.25613455392448947,0.5298037586579116,1355551,366713,514189,0.60611647103695,0.16397080555683485,0.2299127234062151,18895283,18660862,18307872,15022881
00023GCF_000004335.2_AilMel_1.0_CDS.fna,37337,2060,0.0551731526367946,17625,7836,9816,0.4996173143974828,0.22212773194999574,0.27825495365252145,0.5221192890970139,1333553,377300,522423,0.5971286128539419,0.16894463559363015,0.23392675155242793,17957713,17640141,17804964,14776724
00024GCF_000004665.1_Callithrix_jacchus-3.2_CDS.fna,47627,3869,0.081235433682575,21179,9381,13198,0.48400292517939575,0.21438365556012615,0.3016134192604781,0.5033984700960991,1698532,509942,708299,0.5823325983886988,0.17483088330836852,0.24283651830293274,20851181,20322688,22256244,18361691
00025GCF_000146795.2_Nleu_3.0_CDS.fna,39081,1568,0.04012179831631739,18065,8139,11309,0.48156639031802306,0.21696478554101245,0.3014688241409645,0.51037657425285,1165682,336348,479217,0.5883577363145535,0.1697658091091116,0.241876454576335,14782531,14420893,15238549,12777393
00026GCF_000147115.1_Myoluc2.0_CDS.fna,42141,2505,0.059443297501245815,19610,8895,11131,0.49475224543344437,0.22441719648804118,0.2808305580785145,0.5198296058302042,1442376,408740,578618,0.5936353526764658,0.16822417597975745,0.23814047134377672,19188570,18937233,19330162,15886920
00027GCF_000151735.1_Cavpor3.0_CDS.fna,38257,1246,0.032569203021669234,18879,8684,9448,0.5100915943908567,0.23463294696171408,0.2552754586474291,0.5329551697019251,1340838,356924,461012,0.621110871263041,0.16533643632913866,0.21355269240782038,18507147,18387740,17531100,14801012
00028GCF_000151845.1_Pvam_2.0_CDS.fna,34175,2121,0.06206291148500366,16056,7132,8866,0.5009047232794659,0.22249953203968303,0.2765957446808511,0.51901389053051,1167077,353362,478104,0.5839639177140546,0.17680980594362994,0.23922627634231539,15611858,15420064,15700750,13057485
