provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,Uncounted,%Uncounted,TGA,TAG,TAA,%TGA,%TAG,%TAA,CDSGC,OffTGA,OffTAG,OffTAA,%OffTGA,%OffTAG,%OffTAA,CDS Gs,CDS Cs,CDS As,CDS Ts
00001GCF_000001735.3_TAIR10_CDS.fna,48405,1281,0.026464208242950107,20268,9636,17220,0.43009931245225363,0.20448179271708683,0.36541889483065954,0.4385586859491567,1461428,607431,774048,0.5140611353097375,0.2136654487818279,0.27227341590843457,15071437,12669337,18315213,17198430
00002GCF_000002425.3_V1.1_CDS.fna,39849,8127,0.20394489196717608,13028,8786,9908,0.4106928945211525,0.27696866527961667,0.3123384401992308,0.47120143247245055,809718,324088,364344,0.5404785902613223,0.21632546807729533,0.24319594166138236,10265501,8286344,11008620,9810903
00003GCF_000002595.1_v3.0_CDS.fna,17447,7202,0.41279303032039893,4177,3404,2664,0.40771107857491456,0.33225963884821863,0.26002928257686675,0.677845357946069,204415,43783,31372,0.7311764495475194,0.15660836284293736,0.11221518760954323,6953064,6476091,3335096,3047281
00004GCF_000002775.3_Poptr2_0_CDS.fna,50048,7595,0.15175431585677748,18133,10443,13877,0.4271311803641674,0.24598968270793584,0.3268791369278967,0.43434519708705305,1263546,499360,632294,0.5275325651302605,0.20848363393453573,0.26398380093520374,12279429,10322440,14967483,14467298
00005GCF_000003195.2_Sorbi1_CDS.fna,37366,9310,0.24915698763581867,13477,8692,5887,0.4803607071571143,0.3098089535215284,0.20983033932135728,0.5457918012053344,691689,230860,249201,0.5903042457862172,0.19702154896522295,0.21267420524855984,10742552,10100094,9025308,8319952
00006GCF_000003195.3_Sorghum_bicolor_NCBIv3_CDS.fna,39311,1116,0.02838900053420162,18757,11522,7916,0.49108522057860976,0.3016625212724179,0.20725225814897238,0.5325276302793193,1059913,350691,389757,0.5887224839907107,0.19478926726362103,0.21648824874566824,15148827,14205185,13371666,12396367
00007GCF_000003745.3_12X_CDS.fna,41760,1898,0.045450191570881225,18564,9613,11685,0.4657066880738548,0.24115699162109278,0.29313632030505243,0.4443128489803564,1500786,547867,686758,0.5486510071064276,0.20028690386929057,0.2510620890242819,14846775,12536580,17459098,16788344
00008GCF_000004075.2_ASM407v2_CDS.fna,25729,746,0.028994519802557427,10947,5435,8601,0.43817796101348916,0.21754793259416402,0.3442741063923468,0.43289670420363924,855783,340828,452246,0.5190159001053457,0.20670561485926311,0.2742784850353912,8552367,7300880,10555773,10212296
00009GCF_000004255.1_v.1.0_CDS.fna,33467,2489,0.07437176920548601,13122,6487,11369,0.4235909355026148,0.20940667570533927,0.36700238879204594,0.4409060653062994,805016,329991,431563,0.5138717069776646,0.2106455504701354,0.2754827425522,8466161,7199280,10225657,9639012
00010GCF_000004255.2_v.1.0_CDS.fna,33552,2491,0.07424296614210778,13133,6507,11421,0.42281317407681657,0.20949100157754097,0.36769582434564246,0.44126263931736903,806403,331163,433073,0.5134235174346238,0.21084603145598702,0.27573045110938926,8481923,7245759,10250358,9664411
00011GCF_000004515.4_Glycine_max_v2.0_CDS.fna,71846,2509,0.03492191632101996,29657,17565,22115,0.4277225723639615,0.25332794900269695,0.3189494786333415,0.43671987304613713,2433966,935554,1205672,0.531992100003672,0.20448409596799436,0.2635238040283337,23336977,19924598,28674928,27123736
00012GCF_000005005.1_B73_RefGen_v3_CDS.fna,59227,2920,0.04930183868843602,27182,17699,11426,0.48274637256469,0.314330367449873,0.20292325998543698,0.5376896029284144,1298559,446044,489107,0.5813462804034544,0.19968751538919555,0.2189662042073501,19479873,18151898,16838698,15517440
00013GCF_000005005.2_B73_RefGen_v4_CDS.fna,58464,1789,0.030600027367268745,27535,17553,11587,0.4858403176003529,0.3097132774591972,0.20444640494044994,0.5325192575721376,1422957,486226,543878,0.580074038109937,0.19821194825566915,0.2217140136343939,20657532,19212892,18208825,16792079
00014GCF_000005505.2_Brachypodium_distachyon_v2.0_CDS.fna,33993,881,0.02591710057953108,16255,9752,7105,0.4909096400096642,0.29451558347426915,0.21457477651606668,0.5295953929314496,926740,299310,346270,0.5894092805535769,0.19036201282181744,0.22022870662460567,13283786,12349767,11798177,10970415
00015GCF_000090985.2_ASM9098v2_CDS.fna,10894,1718,0.15770148705709566,5694,1895,1587,0.6205318221447254,0.20651700087183958,0.17295117698343504,0.6545250373170726,150826,22290,37670,0.7155408803241202,0.10574706100025619,0.17871205867562362,5115551,4553570,2780018,2323590
00016GCF_000091205.1_ASM9120v1_CDS.fna,4805,134,0.027887617065556713,2227,1435,1009,0.4767715692571184,0.3072147291800471,0.2160137015628345,0.5728967625702899,106663,37064,21796,0.6443998719211227,0.22392054276444964,0.1316795853144276,2192433,2089017,1600239,1591647
00017GCF_000092065.1_ASM9206v1_CDS.fna,8747,2420,0.27666628558362866,2429,2289,1609,0.3839102260154892,0.361782835467046,0.25430693851746483,0.590926222384654,137937,32664,36064,0.6674424793748337,0.15805288752328647,0.17450463310187986,3056225,2428257,2028612,1768068
00018GCF_000143415.3_v1.0_CDS.fna,40431,11031,0.2728352007123247,12986,7852,8562,0.44170068027210885,0.2670748299319728,0.29122448979591836,0.5284798729705334,615908,220709,209785,0.5885959698089263,0.21092180634211327,0.20048222384896053,11569203,10308616,10145262,9374558
00019GCF_000143455.1_v1.0_CDS.fna,15881,3137,0.1975316415842831,5834,3567,3343,0.45778405524168236,0.2798964218455744,0.26231952291274324,0.6291690391738352,287269,98103,86255,0.6091021082338374,0.20800971954531866,0.18288817222084403,8120504,7432985,4738482,4428713
00020GCF_000147415.1_v_1.0_CDS.fna,10744,2098,0.1952717795979151,5920,2059,667,0.6847096923432802,0.23814480684709693,0.07714550080962294,0.6874628744935538,133902,21641,8589,0.8158189749713645,0.131851192942266,0.05232983208636951,4810106,4434639,2238107,1964776
00021GCF_000148765.1_MalDomGD1.0_CDS.fna,61296,2715,0.04429326546593579,25884,14524,18173,0.44184974650483944,0.24793021628172957,0.310220037213431,0.4554451447427114,1711720,631482,813090,0.5423199120993875,0.20007084262165858,0.2576092452789539,18560835,15906881,21159166,20052300
