Sequence,TotalCDS,Uncounted,%Uncounted,TGA,TAG,TAA,TGA,TAG,TAA,CDSGC,TGA,TAG,TAA,TGA,TAG,TAA,G,C,A,T,CDS Size,Sequence,TotalFASTAsequences,GenomicGC,TAG,TGA,TAA,G,C,A,T,Equal Sequence,Genomic Size,NonCoding Size,%gOffTAG,%gOffTGA,%gOffTAA,NonCoding%,NonCodingG+C,NoncodingA+T,NonCoding%GC,TAG,TGA,TAG
00001GCF_000006175.1_ASM617v2.fna,1694,48,0.028335301,57,79,1510,0.034629405,0.04799514,0.917375456,0.315622678,32011,23169,59437,0.279286668,0.202142789,0.518570544,283494,205011,602810,456435,1.55E+06,00001GCF_000006175.1_ASM617v2.fna,1,0.285946161,23601,29534,84767,274132,279571,687654,695032,TRUE,1936389,388639,0.171143276,0.214166582,0.614690142,0.200702958,65198,323441,0.167759798,432,-2477,25330
00002GCF_000006805.1_ASM680v1.fna,2682,102,0.03803132,1263,709,608,0.489534884,0.274806202,0.235658915,0.669896482,23973,3037,2320,0.817354245,0.103545857,0.079099898,766292,772968,408757,349741,2.30E+06,00002GCF_000006805.1_ASM680v1.fna,3,0.659336107,9702,27615,4781,847572,847593,436710,439143,TRUE,2571018,273260,0.230462255,0.655969405,0.113568341,0.106284748,155905,117355,0.570537217,6665,3642,2461
00003GCF_000007005.1_ASM700v1.fna,3148,212,0.067344346,860,595,1481,0.292915531,0.202656676,0.504427793,0.366914817,49871,60197,83842,0.257186324,0.310437832,0.432375844,559113,383493,882579,743820,2.57E+06,00003GCF_000007005.1_ASM700v1.fna,1,0.35787198,58938,48386,97820,536709,534132,955581,965824,TRUE,2992246,423241,0.287300628,0.235863589,0.476835784,0.141445924,128235,295006,0.302983407,-1259,-1485,13978
00004GCF_000007065.1_ASM706v1.fna,3458,120,0.03470214,1423,106,1809,0.426303176,0.031755542,0.541941282,0.44267611,70632,22284,49754,0.495072545,0.156192612,0.348734843,745688,644033,957563,792079,3.14E+06,00004GCF_000007065.1_ASM706v1.fna,1,0.414849377,31769,76350,81955,850358,849009,1201032,1195948,TRUE,4096347,956984,0.167140166,0.401685659,0.431174174,0.23361888,309646,647338,0.323564448,9485,5718,32201
00005GCF_000007305.1_ASM730v1.fna,2057,53,0.025765678,934,406,664,0.466067864,0.20259481,0.331337325,0.4128656,36173,30753,38108,0.344393244,0.292790906,0.36281585,428092,298954,580997,452932,1.76E+06,00005GCF_000007305.1_ASM730v1.fna,1,0.407699277,28813,31649,41184,389365,388630,565156,565106,TRUE,1908257,147282,0.28346418,0.311364933,0.405170887,0.077181428,50949,96333,0.345928219,-1940,-4524,3076
00006GCF_000007345.1_ASM734v1.fna,4969,307,0.061783055,2150,238,2274,0.461175461,0.051051051,0.487773488,0.452133194,95524,30869,62642,0.505324411,0.163297802,0.331377787,1057071,928287,1316199,1089534,4.39E+06,00006GCF_000007345.1_ASM734v1.fna,1,0.42680903,46845,105800,101642,1226378,1228412,1638005,1658700,TRUE,5751495,1360404,0.184220979,0.416065312,0.399713709,0.236530502,469432,890972,0.345068083,15976,10276,39000
00007GCF_000008265.1_ASM826v1.fna,1565,40,0.025559105,455,159,911,0.298360656,0.104262295,0.597377049,0.372101862,31799,13246,46813,0.346175619,0.144200832,0.509623549,296441,237162,500177,400244,1.43E+06,00007GCF_000008265.1_ASM826v1.fna,1,0.359704663,11653,29396,47229,275829,280237,494440,495390,TRUE,1545896,111872,0.132003444,0.332993498,0.535003059,0.072367093,22463,89409,0.200791977,-1593,-2403,416
00008GCF_000008645.1_ASM864v1.fna,1827,59,0.032293377,843,407,518,0.476809955,0.23020362,0.292986425,0.507400335,43091,10232,19929,0.588256976,0.139682193,0.272060831,435369,368447,434519,345850,1.58E+06,00008GCF_000008645.1_ASM864v1.fna,1,0.495439591,12413,42407,20171,434571,433131,439338,444338,TRUE,1751378,167193,0.16552653,0.565494526,0.268978944,0.095463686,63886,103307,0.382109299,2181,-684,242
00009GCF_000008665.1_ASM866v1.fna,2438,69,0.028301887,1201,366,802,0.506964964,0.154495568,0.338539468,0.494386105,48627,12668,23310,0.574753265,0.149731103,0.275515631,583832,423056,559635,470120,2.04E+06,00009GCF_000008665.1_ASM866v1.fna,1,0.485816667,15299,41540,26889,531003,527301,562097,558001,TRUE,2178402,141759,0.182722626,0.496130327,0.321147048,0.065074766,51416,90343,0.362700075,2631,-7087,3579
00010GCF_000009185.1_ASM918v1.fna,2859,146,0.051066807,1280,448,985,0.471802433,0.165130851,0.363066716,0.491759824,72385,10524,17997,0.717350802,0.104295087,0.178354112,641051,571314,646554,606441,2.47E+06,00010GCF_000009185.1_ASM918v1.fna,2,0.478611282,19745,77189,32308,757084,764595,830062,827622,TRUE,3179363,714003,0.152775414,0.59724393,0.249980656,0.224574231,309314,404689,0.433211065,9221,4804,14311
00011GCF_000009965.1_ASM996v1.fna,2283,66,0.02890933,1488,309,420,0.671177267,0.139377537,0.189445196,0.528630414,37074,15864,20157,0.507202955,0.217032629,0.275764416,546867,469167,503832,402146,1.92E+06,00011GCF_000009965.1_ASM996v1.fna,1,0.519954614,19001,36522,21864,542161,543889,503441,499249,TRUE,2088740,166728,0.245532195,0.471939731,0.282528073,0.079822285,70016,96712,0.419941462,3137,-552,1707
00012GCF_000011085.1_ASM1108v1.fna,4263,150,0.035186488,2045,973,1095,0.497203987,0.236566983,0.26622903,0.623986841,49734,8778,7284,0.755881817,0.133412365,0.110705818,1161425,1143208,749221,639546,3.69E+06,00012GCF_000011085.1_ASM1108v1.fna,9,0.611188544,22273,56666,14032,1306187,1306457,831935,830115,TRUE,4274694,581294,0.239569328,0.609501888,0.150928784,0.135984938,308011,273283,0.529871287,13495,6932,6748
00013GCF_000011105.1_ASM1110v1.fna,1858,54,0.029063509,854,357,593,0.473392461,0.19789357,0.328713969,0.42362512,33757,30612,39919,0.323690166,0.293533292,0.382776542,409008,276847,519159,414000,1.62E+06,00013GCF_000011105.1_ASM1110v1.fna,1,0.41878956,27981,28323,41043,359442,368627,504061,506378,TRUE,1738508,119494,0.287435668,0.290948874,0.421615458,0.06873365,42214,77280,0.353272968,-2631,-5434,1124
00014GCF_000011185.1_ASM1118v1.fna,1584,57,0.035984848,584,264,679,0.382449247,0.172888016,0.444662737,0.4124566,26317,21027,29778,0.341238557,0.272645938,0.386115505,317643,256497,446675,371186,1.39E+06,00014GCF_000011185.1_ASM1118v1.fna,1,0.399185264,22310,26920,34440,317148,315484,478012,474164,TRUE,1584808,192807,0.266642763,0.32174017,0.411617067,0.121659532,58492,134315,0.303370728,1283,603,4662
00015GCF_000011205.1_ASM1120v1.fna,2919,124,0.042480301,798,480,1517,0.285509839,0.171735242,0.542754919,0.337365418,46538,54652,81567,0.254644145,0.299041897,0.446313958,467457,321609,836580,713260,2.34E+06,00015GCF_000011205.1_ASM1120v1.fna,1,0.327867289,52305,43743,99610,444673,438850,900902,910333,TRUE,2694758,355852,0.267328706,0.223568676,0.509102618,0.132053416,94457,261395,0.265439003,-2347,-2795,18043
00016GCF_000011585.1_ASM1158v1.fna,1728,53,0.030671296,128,127,1420,0.07641791,0.075820896,0.847761194,0.342420865,33355,14038,42497,0.371064635,0.156168651,0.472766715,287229,220940,553697,422182,1.48E+06,00016GCF_000011585.1_ASM1158v1.fna,1,0.331003806,14138,29419,51001,275635,274208,559092,552203,TRUE,1661138,177090,0.149516699,0.311121217,0.539362085,0.106607639,41674,135416,0.23532667,100,-3936,8504
00017GCF_000012285.1_ASM1228v1.fna,2285,81,0.035448578,756,413,1035,0.343012704,0.18738657,0.469600726,0.377291356,40772,42949,57919,0.287856538,0.30322649,0.408916973,430359,309452,667300,553737,1.96E+06,00017GCF_000012285.1_ASM1228v1.fna,1,0.367076228,42569,39299,67311,409058,408039,702249,706614,TRUE,2225960,265112,0.285355177,0.263435202,0.451209621,0.119100074,77286,187826,0.291522074,-380,-1473,9392
00018GCF_000012545.1_ASM1254v1.fna,1537,44,0.028627196,156,273,1064,0.104487609,0.182853315,0.712659076,0.293321681,35559,26843,59712,0.291195113,0.219819185,0.488985702,247404,190278,608967,445508,1.49E+06,00018GCF_000012545.1_ASM1254v1.fna,1,0.276337498,27261,31853,71094,242608,245792,645239,633765,TRUE,1767404,275247,0.209365016,0.244631666,0.546003318,0.155735191,50718,224529,0.184263589,418,-3706,11382
00019GCF_000013445.1_ASM1344v1.fna,3369,84,0.024933215,1457,341,1487,0.443531202,0.103805175,0.452663623,0.461852615,82532,13706,33030,0.63845654,0.106027787,0.255515673,765783,691586,877834,820282,3.16E+06,00019GCF_000013445.1_ASM1344v1.fna,1,0.451490505,19387,84399,45125,796919,803497,981407,962916,TRUE,3544739,389254,0.13019186,0.566774785,0.303033355,0.109811752,143047,246207,0.367490122,5681,1867,12095
00020GCF_000013725.1_ASM1372v1.fna,2532,119,0.04699842,1229,78,1106,0.509324492,0.032324907,0.458350601,0.422560519,57775,17749,34072,0.5271634,0.161949341,0.310887259,512956,417360,679305,591995,2.20E+06,00020GCF_000013725.1_ASM1372v1.fna,1,0.407581184,23286,57032,44358,529204,520331,760719,764779,TRUE,2575033,373417,0.186772113,0.457441689,0.355786198,0.145014452,119219,254198,0.319265058,5537,-743,10286
