provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,GenomicGC,GenomicOffTAG,GenomicOffTGA,GenomicOffTAA,Genomic Gs,Genomic Cs,Genomic As,Genomic Ts
00001GCF_000001215.4_Release_6_plus_ISO1_MT_Genomic.fna,1870,0.45138444635492636,1101544,1712873,1925281,24930613,24953295,30305787,30323435
00002GCF_000001765.3_Dpse_3.0_Genomic.fna,4790,0.4717935252911824,1088283,1707428,1633959,26828328,26837943,30039707,30043508
00003GCF_000002075.1_AplCal3.0_Genomic.fna,4332,0.41826162487369417,4984379,8350687,7869194,89373796,89323004,124266342,124273758
00004GCF_000002195.4_Amel_4.5_Genomic.fna,5321,0.42382291935856303,1142672,1911839,2509068,27106164,27144773,36890211,36862635
00005GCF_000002235.4_Spur_4.2_Genomic.fna,31897,0.3960830792623233,7248209,11669180,12156108,112857395,113155662,172343145,172264127
00006GCF_000002325.3_Nvit_2.1_Genomic.fna,6098,0.4510687591723805,1874566,2638266,3164104,39602345,39618176,48169985,48237975
00007GCF_000002335.3_Tcas5.2_Genomic.fna,2082,0.40230693843654447,1054345,1614494,2209220,19012535,19034998,28259649,28266213
00008GCF_000002865.3_V1.0_Genomic.fna,219,0.5514003834126725,189297,617488,164426,9418629,9422131,7671709,7656459
00009GCF_000002985.6_WBcel235_Genomic.fna,7,0.40449922260346,692372,1309674,1104105,13028548,13053807,19200615,19197636
00010GCF_000002995.3_ASM299v2_Genomic.fna,24286,0.3527061508332478,711268,1213038,1475776,10049878,10034171,18425548,18433127
00011GCF_000003605.2_Skow_1.1_Genomic.fna,54120,0.378920344542791,5380661,8954566,9472343,79459510,79530325,130260966,130335630
00012GCF_000003815.1_Version_2_Genomic.fna,398,0.42099443554236643,4549662,6985474,6632293,75950539,75909427,104387594,104469716
00013GCF_000004015.3_AaegL2_Genomic.fna,4756,0.40065974654840786,7329103,11922400,12393993,125761848,125698565,188070304,188085147
00014GCF_000004015.4_AaegL3_Genomic.fna,4757,0.40065468819134054,7329311,11922580,12395098,125763228,125700684,188076995,188091614
00015GCF_000004095.1_Hydra_RP_1.0_Genomic.fna,20916,0.34437011046596155,5547563,7492140,11207595,66798538,66789653,127170267,127161942
00016GCF_000004555.1_ASM455v1_Genomic.fna,12,0.413317023386726,748774,1364741,1050353,14089225,14086029,19984787,20008586
00017GCF_000005115.1_dana_caf1_Genomic.fna,13749,0.4526677962260879,1422991,2078001,2337861,30755716,30789706,37208813,37207330
00018GCF_000005135.1_dere_caf1_Genomic.fna,5124,0.4590796241713471,1053586,1637341,1814157,24683742,24674280,29079758,29077386
00019GCF_000005155.2_dgri_caf1_Genomic.fna,17440,0.43188186868109685,1109815,1895403,2102832,23745830,23791165,31271549,31260895
00020GCF_000005175.2_dmoj_caf1_Genomic.fna,6841,0.4417407347715285,1319259,1940534,2086900,25275435,25309855,31993933,31934305
00021GCF_000005195.2_dper_caf1_Genomic.fna,12838,0.46359512998023455,1232500,1936797,1938123,29833633,29833731,34507142,34531255
00022GCF_000005215.3_dsec_caf1_Genomic.fna,14731,0.4510668382998654,1160417,1801629,2048576,26353759,26321498,32036093,32067922
00023GCF_000005245.1_dvir_caf1_Genomic.fna,13530,0.4427865827428227,1325930,1947022,2301073,27068118,27089151,34050192,34102634
00024GCF_000005575.2_AgamP3_Genomic.fna,8090,0.4649768480735377,1960774,3076876,3081262,45940723,45938990,52864120,52856786
00025GCF_000005925.1_dwil_caf1_Genomic.fna,14838,0.40831286089303803,1742905,2551867,3051376,29699916,29692352,43039984,43025493
00026GCF_000005975.2_dyak_caf1_Genomic.fna,8123,0.45340240418490557,1254844,1917217,2166460,28339861,28324216,34114787,34196382
00027GCF_000006295.1_JCVI_LOUSE_1.0_Genomic.fna,1882,0.38598265937647275,327876,676922,924376,7438237,7411411,11806228,11816443
00028GCF_000090795.1_v1.0_Genomic.fna,13398,0.3843379398089791,1611659,2318905,2337829,20269441,20254390,32474766,32439422
00029GCF_000142985.2_Acyr_2.0_Genomic.fna,23925,0.3888966479482879,3331020,4133032,5903021,47189307,47181355,74164726,74127187
00030GCF_000143395.1_Attacep1.0_Genomic.fna,2835,0.4037972575398639,1886946,2934871,3592416,33876113,33866518,49965120,50056219
00031GCF_000147175.1_CamFlo_1.0_Genomic.fna,10791,0.4266358515160941,1382357,2204654,2742604,29719641,29742247,39948851,39963127
00032GCF_000147195.1_HarSal_1.0_Genomic.fna,8893,0.4728252601399112,1776244,3065715,3564479,49925324,49852218,55636072,55610522
00033GCF_000149515.1_ASM14951v1_Genomic.fna,3670,0.4123867058944248,1027077,2043787,1553045,20083036,20098459,28628613,28626338
00034GCF_000150275.1_v1.0_Genomic.fna,1414,0.35825419843871176,1370847,1408624,2044584,13257403,13235342,23701105,23755723
00035GCF_000151315.2_C_owczarzaki_V2_Genomic.fna,84,0.5479378952544947,94600,391087,85660,6397662,6399107,5278460,5279186
00036GCF_000151625.1_ASM15162v1_Genomic.fna,43463,0.39495616519359894,3229313,4181426,5717068,45846337,45865034,70229518,70265566
00037GCF_000181795.1_Trichinella_spiralis-3.7.1_Genomic.fna,6863,0.40134397126823684,370967,814648,725162,7885585,7912177,11790612,11773777
00038GCF_000183805.1_Loa_loa_V1_Genomic.fna,14334,0.35917257251218293,719445,1270826,1508049,10752826,10795406,19261334,19184525
00039GCF_000183805.2_Loa_loa_V3.1_Genomic.fna,5764,0.3592232810843073,725740,1281715,1521499,10850856,10895632,19435711,19355325
00040GCF_000184785.1_Aflo_1.0_Genomic.fna,7945,0.4259590913960534,1128547,1870940,2446833,26773271,26752049,36093863,36039175
00041GCF_000184785.2_Aflo_1.0_Genomic.fna,7946,0.4259186718258993,1128673,1871133,2448215,26774168,26753610,36101773,36046503
00042GCF_000187915.1_Pbar_UMD_V03_Genomic.fna,4645,0.43559410997988457,1454162,2324213,2830108,32105917,32114339,41584417,41626742
00043GCF_000188075.1_Si_gnG_Genomic.fna,69511,0.42543935305878183,2404530,3628487,4810019,49155884,49027132,66162887,66434384
00044GCF_000188095.1_BIMP_2.0_Genomic.fna,5559,0.4220569655762969,2096800,2742778,3763404,38838608,38876967,53208098,53211601
00045GCF_000188695.1_Proterospongia_sp_ATCC50818_Genomic.fna,154,0.5723256519121458,103699,558194,93294,9599228,9609648,7170941,7183026
00046GCF_000204515.1_Aech_3.9_Genomic.fna,4339,0.411764337715575,1978388,3069660,3782206,37083214,37061318,52966341,52954580
00047GCF_000208615.1_JCVI_ISG_i3_1.0_Genomic.fna,369492,0.46262119664632856,9828082,14696914,14423774,212066254,212117114,246413534,246316052
00048GCF_000209185.1_CulPip1.0_Genomic.fna,3171,0.43455277896912126,2334662,4539606,4406848,54784778,54766413,71280196,71269615
00049GCF_000209225.1_ASM20922v1_Genomic.fna,10804,0.4139082133574397,2768686,3868729,4361305,43836730,43846874,62042287,62117221
00050GCF_000214255.1_Bter_1.0_Genomic.fna,5609,0.421347952501709,2026957,2670099,3632779,37524302,37482590,51509276,51500342
00051GCF_000217595.1_Lhum_UMD_V04_Genomic.fna,3030,0.4390551521810345,1470507,2345529,2920236,33298242,33314076,42583139,42521970
00052GCF_000220665.1_Dfic_2.0_Genomic.fna,5754,0.4601326618041576,1042679,1750532,1947335,26447525,26466734,31049727,31033847
00053GCF_000220905.1_MROT_1.0_Genomic.fna,6266,0.41662483186177895,2055333,2928930,3842244,38011868,38030278,53201443,53275887
00054GCF_000222465.1_Adig_1.1_Genomic.fna,2421,0.40730832324915395,3285986,5769960,5903826,58877375,58855484,85651929,85666165
00055GCF_000224145.2_KH_Genomic.fna,1272,0.39064053384473957,931709,1317312,1896680,15150475,15144650,23636344,23620967
00056GCF_000224195.1_Dele_2.0_Genomic.fna,5429,0.45435403456764445,1207570,1932598,2141575,28192898,28188249,33855961,33853673
