provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,Uncounted,%Uncounted,TGA,TAG,TAA,%TGA,%TAG,%TAA,CDSGC,OffTGA,OffTAG,OffTAA,%OffTGA,%OffTAG,%OffTAA,CDS Gs,CDS Cs,CDS As,CDS Ts
00001GCF_000002035.5_GRCz10_CDS.fna,48098,3208,0.0666971599650713,21952,8309,14629,0.4890175985742927,0.18509690354199154,0.32588549788371574,0.5002428634371797,2041824,467651,813494,0.6144577334305557,0.14073288074610385,0.24480938582334053,24189696,23435280,26263805,21314928
00002GCF_000002035.6_GRCz11_CDS.fna,58860,3861,0.06559633027522936,26755,10233,18011,0.48646339024345897,0.18605792832596957,0.32747868143057146,0.4991770202497479,2608483,605137,1041743,0.6129871881670259,0.14220572956995678,0.24480708226301728,30667821,29679192,33528437,27017561
00003GCF_000002315.4_Gallus_gallus-5.0_CDS.fna,47213,2539,0.05377756126490585,20944,10051,13679,0.4688185521780006,0.22498545014997537,0.306195997672024,0.5044779051886329,2068875,573908,822515,0.5970265760693597,0.1656157709957412,0.2373576529348991,25481922,23950017,26922158,21632234
00004GCF_000004195.2_Xtropicalis_v7_CDS.fna,41759,2992,0.07164922531669819,15249,7733,15785,0.3933500141873243,0.19947377924523435,0.40717620656744136,0.463153898436275,1591140,554586,920933,0.5188512971282428,0.18084371297884766,0.3003049898929095,18198090,17091529,22601602,18302932
00005GCF_000004195.3_Xenopus_tropicalis_v9.1_CDS.fna,41003,2777,0.06772675170109504,15118,7580,15528,0.39548998064144825,0.19829435462774028,0.4062156647308115,0.46265942355835404,1596750,552509,925482,0.5193120331110815,0.17969285868305657,0.3009951082058619,18108957,16983392,22566013,18190842
00006GCF_000090745.1_AnoCar2.0_CDS.fna,38020,5345,0.14058390320883746,14797,6833,11045,0.4528538638102525,0.20912012241775058,0.3380260137719969,0.4774640617671401,1406986,447921,611342,0.5704963286351054,0.181620347337191,0.2478833240277036,16199324,15560672,19190644,15567447
00007GCF_000146605.2_Turkey_5.0_CDS.fna,34796,3057,0.08785492585354639,14650,7275,9814,0.4615772393585179,0.2292132707394688,0.3092094899020133,0.4929734040311935,1224688,338067,492318,0.5959340617097301,0.16450364536928858,0.23956229292098138,14410455,13563483,15821807,12949584
00008GCF_000151805.1_Taeniopygia_guttata-3.2.4_CDS.fna,21277,3757,0.1765756450627438,8154,3756,5610,0.4654109589041096,0.21438356164383562,0.3202054794520548,0.5088498526758141,684192,165238,255854,0.6190191842096692,0.14949822850959574,0.2314825872807351,8508901,8075223,8844726,7162540
00009GCF_000165045.1_Callorhinchus_milii-6.1.3_CDS.fna,30796,4193,0.1361540459799974,11846,5162,9595,0.44528812539939105,0.19403826636093674,0.3606736082396722,0.487900543764563,1152409,282929,477028,0.6026090194031896,0.14794709799274824,0.2494438826040622,13247372,12334262,14988658,11861775
00010GCF_000180615.1_FUGU5_CDS.fna,31927,2421,0.07582923544335515,15633,5881,7992,0.529824442486274,0.19931539347929234,0.2708601640344337,0.5416050475042085,1060052,205633,335591,0.6620045513702822,0.1284182114763476,0.20957723715337018,15513872,15461254,14524633,11691595
00011GCF_000186305.1_Python_molurus_bivittatus-5.0.2_CDS.fna,27835,3972,0.14269804203341116,10636,4780,8447,0.4457109332439341,0.2003101035075221,0.3539789632485438,0.47058961998969323,938569,304758,422887,0.5632943907565294,0.18290447685591407,0.25380113238755647,10394443,9816672,12377157,10360221
00012GCF_000188235.2_Orenil1.1_CDS.fna,49589,3950,0.07965476214483051,22577,9617,13445,0.49468656193168126,0.21071890269287233,0.29459453537544644,0.5220236630865145,1881545,432699,661277,0.6323413613951977,0.1454195752609375,0.2222390633438648,24526913,24247563,24769615,19889367
00013GCF_000225785.1_LatCha1_CDS.fna,37246,4874,0.13085968963110134,11911,6644,13817,0.36794143086618064,0.20523909551464228,0.42681947361917705,0.46576143277847254,1352635,458203,700222,0.538670919850581,0.18247393531018774,0.27885514483923124,14756625,13443560,17961467,14384763
