provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,GenomicGC,GenomicOffTAG,GenomicOffTGA,GenomicOffTAA,Genomic Gs,Genomic Cs,Genomic As,Genomic Ts
00001GCF_000819615.1_ViralProj14015_Genomic.fna,1,0.44774457026174125,23,135,100,1254,1158,1291,1684
00002GCF_000820355.1_ViralMultiSegProj14361_Genomic.fna,3,0.5036471586089907,71,99,76,1601,1368,1447,1479
00003GCF_000820495.2_ViralMultiSegProj14656_Genomic.fna,8,0.4019085817025102,153,337,283,3252,2560,5183,3466
00004GCF_000836805.1_ViralProj14012_Genomic.fna,1,0.41019417475728154,54,82,78,1014,845,1309,1364
00005GCF_000836825.1_ViralProj14017_Genomic.fna,1,0.41400595998297146,56,78,91,949,996,1344,1409
00006GCF_000836865.1_ViralProj14025_Genomic.fna,1,0.4805081579275128,77,128,123,2067,1791,2118,2053
00007GCF_000836885.1_ViralProj14030_Genomic.fna,1,0.5743342419794506,12,76,24,1333,1406,1138,892
00008GCF_000836905.1_ViralProj14035_Genomic.fna,1,0.501696731559207,136,837,464,8870,7984,8398,8342
00009GCF_000836925.1_ViralProj14039_Genomic.fna,1,0.4371377882909521,35,178,150,1948,1748,2324,2435
00010GCF_000836945.1_ViralProj14044_Genomic.fna,1,0.35298575505322616,2221,3071,5067,27891,31729,53779,55503
00011GCF_000836965.1_ViralProj14048_Genomic.fna,1,0.49484687868080096,228,832,582,10470,9696,10672,9914
00012GCF_000836985.1_ViralProj14054_Genomic.fna,1,0.3855757636655949,537,886,981,8474,6875,13589,10870
00013GCF_000837005.1_ViralProj14058_Genomic.fna,1,0.3833734111989007,32,32,74,474,642,1104,691
00014GCF_000837025.1_ViralProj14062_Genomic.fna,1,0.48104233654876744,111,282,302,3841,3340,3949,3798
00015GCF_000837045.1_ViralProj14067_Genomic.fna,1,0.5081206496519721,7,15,16,332,325,336,300
