provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,Uncounted,%Uncounted,TGA,TAG,TAA,%TGA,%TAG,%TAA,CDSGC,OffTGA,OffTAG,OffTAA,%OffTGA,%OffTAG,%OffTAA,CDS Gs,CDS Cs,CDS As,CDS Ts
00001GCF_000006175.1_ASM617v2_CDS.fna,1694,48,0.02833530106257379,57,79,1510,0.03462940461725395,0.0479951397326853,0.9173754556500607,0.31562267808108546,32011,23169,59437,0.2792866677717965,0.2021427885915702,0.5185705436366334,283494,205011,602810,456435
00002GCF_000006805.1_ASM680v1_CDS.fna,2682,102,0.03803131991051454,1263,709,608,0.48953488372093024,0.2748062015503876,0.23565891472868217,0.6698964817008579,23973,3037,2320,0.8173542448005455,0.10354585748380497,0.0790998977156495,766292,772968,408757,349741
00003GCF_000007005.1_ASM700v1_CDS.fna,3148,212,0.06734434561626429,860,595,1481,0.29291553133514986,0.2026566757493188,0.5044277929155313,0.36691481721522534,49871,60197,83842,0.25718632355216337,0.31043783198391006,0.4323758444639266,559113,383493,882579,743820
00004GCF_000007065.1_ASM706v1_CDS.fna,3458,120,0.03470213996529786,1423,106,1809,0.4263031755542241,0.03175554224086279,0.5419412822049131,0.4426761097713135,70632,22284,49754,0.49507254503399456,0.15619261232214202,0.34873484264386345,745688,644033,957563,792079
00005GCF_000007305.1_ASM730v1_CDS.fna,2057,53,0.025765678172095283,934,406,664,0.4660678642714571,0.2025948103792415,0.3313373253493014,0.41286560002271466,36173,30753,38108,0.34439324409238914,0.2927909058019308,0.36281585010568007,428092,298954,580997,452932
00006GCF_000007345.1_ASM734v1_CDS.fna,4969,307,0.06178305494063192,2150,238,2274,0.46117546117546115,0.05105105105105105,0.4877734877734878,0.45213319423350595,95524,30869,62642,0.5053244108233925,0.1632978019943397,0.33137778718226785,1057071,928287,1316199,1089534
00007GCF_000008265.1_ASM826v1_CDS.fna,1565,40,0.025559105431309903,455,159,911,0.2983606557377049,0.10426229508196722,0.5973770491803279,0.3721018616145894,31799,13246,46813,0.3461756188900259,0.14420083171852208,0.509623549391452,296441,237162,500177,400244
00008GCF_000008645.1_ASM864v1_CDS.fna,1827,59,0.03229337712096333,843,407,518,0.47680995475113125,0.23020361990950225,0.29298642533936653,0.5074003351881251,43091,10232,19929,0.5882569759187463,0.13968219297766613,0.27206083110358764,435369,368447,434519,345850
00009GCF_000008665.1_ASM866v1_CDS.fna,2438,69,0.02830188679245283,1201,366,802,0.5069649641198818,0.15449556775010553,0.3385394681300127,0.49438610497765195,48627,12668,23310,0.5747532651734532,0.1497311033626854,0.2755156314638615,583832,423056,559635,470120
00010GCF_000009185.1_ASM918v1_CDS.fna,2859,146,0.05106680657572578,1280,448,985,0.4718024327312938,0.16513085145595283,0.3630667158127534,0.49175982412304897,72385,10524,17997,0.7173508017362694,0.10429508651616355,0.17835411174756705,641051,571314,646554,606441
