provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,GenomicGC,GenomicOffTAG,GenomicOffTGA,GenomicOffTAA,Genomic Gs,Genomic Cs,Genomic As,Genomic Ts
00001GCF_000001405.33_GRCh38.p7_Genomic.fna,525,0.42481894945806775,25463612,37254961,35837773,404639968,404310560,547275320,547998361
00002GCF_000001405.34_GRCh38.p8_Genomic.fna,543,0.4249002586845119,25488927,37301870,35865348,405249519,404899002,547915046,548615717
00003GCF_000001405.35_GRCh38.p9_Genomic.fna,551,0.42490215136007314,25506300,37328267,35889614,405534049,405182491,548296414,548994660
00004GCF_000001405.36_GRCh38.p10_Genomic.fna,557,0.42490678383145963,25532591,37367469,35927414,405967359,405627586,548888626,549570530
00005GCF_000001405.37_GRCh38.p11_Genomic.fna,578,0.4250285001738827,25629344,37517407,36052060,407765943,407417715,551040299,551726622
00006GCF_000001515.7_Pan_tro_3.0_Genomic.fna,44449,0.4244132553686004,25837667,37652888,36321828,408725885,408568792,553918529,554491674
00007GCF_000001545.4_P_pygmaeus_2.0.2_Genomic.fna,61535,0.4227139783072086,26070077,37961038,36675842,408841332,408627978,557971504,558418372
00008GCF_000001635.24_GRCm38.p4_Genomic.fna,196,0.4286789493395548,24370507,34359578,30949766,371262472,371161743,494567759,494896695
00009GCF_000001635.25_GRCm38.p5_Genomic.fna,207,0.42872362620750193,24409443,34416509,30998178,371938042,371854677,495404290,495703224
00010GCF_000001895.5_Rnor_6.0_Genomic.fna,955,0.4322749439613154,24900128,35416416,31672688,388435846,388482632,510075387,510284670
00011GCF_000001905.1_Loxafr3.0_Genomic.fna,2352,0.4222685880841705,22679465,32818276,32896396,358658899,358844248,490857726,490802094
00012GCF_000002165.2_Mm_Celera_Genomic.fna,12503,0.4275888278517893,23458427,33050827,29935939,355864059,355851808,476267214,476503502
00013GCF_000002265.2_Rn_Celera_Genomic.fna,7041,0.4320913634868855,23217370,33066627,29554468,361365724,361493722,474989141,475083360
00014GCF_000002275.2_Ornithorhynchus_anatinus_5.0.1_Genomic.fna,200154,0.45032959643181714,11946217,18732098,16132397,224720002,224748095,274258764,274360097
00015GCF_000002285.3_CanFam3.1_Genomic.fna,3268,0.43268148795274936,21415148,31005210,28955913,345562670,345603506,452973549,453262048
00016GCF_000002295.2_MonDom5_Genomic.fna,5016,0.3984472396691439,31281656,40741308,40945547,398857363,398916899,602138028,602295738
00017GCF_000002305.2_EquCab2.0_Genomic.fna,9637,0.4373917374075075,21734087,33284834,30056410,372619488,372321232,478975159,479227222
00018GCF_000003025.5_Sscrofa10.2_Genomic.fna,4583,0.4343181053228328,20867929,31812219,29736113,355307056,355252694,462661646,462813900
00019GCF_000003025.6_Sscrofa11.1_Genomic.fna,613,0.4357099915438305,20013105,30617080,28470952,343600389,343316444,444512463,445116678
00020GCF_000003055.6_Bos_taurus_UMD_3.1.1_Genomic.fna,3144,0.4286837759417851,20114934,31505831,29186419,337587288,337208221,449244033,450070669
