provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,GenomicGC,GenomicOffTAG,GenomicOffTGA,GenomicOffTAA,Genomic Gs,Genomic Cs,Genomic As,Genomic Ts
00001GCF_000002035.5_GRCz10_Genomic.fna,1061,0.39115415077029153,8051119,14688239,15940864,136098673,136217256,212090700,211779078
00002GCF_000002035.6_GRCz11_Genomic.fna,1923,0.39049830959226767,9990332,18174708,19763847,168170805,168234419,262655524,262416026
00003GCF_000002315.4_Gallus_gallus-5.0_Genomic.fna,23475,0.4296000489339283,10791968,18139042,16505050,197042021,196736068,261334555,261502915
00004GCF_000004195.2_Xtropicalis_v7_Genomic.fna,7728,0.4071957797982878,11621287,14525628,18374839,170866205,170758353,248648117,248696133
00005GCF_000004195.3_Xenopus_tropicalis_v9.1_Genomic.fna,6822,0.40728008504057883,11628092,14543319,18399366,171125019,171098268,249085915,248956010
00006GCF_000090745.1_AnoCar2.0_Genomic.fna,6457,0.4011897580902913,12979730,19434143,19229422,199923450,199805650,298235306,298394778
00007GCF_000146605.2_Turkey_5.0_Genomic.fna,231286,0.4233475652963968,10426594,17226636,15713257,181834324,182158668,247916999,247887069
00008GCF_000151805.1_Taeniopygia_guttata-3.2.4_Genomic.fna,37096,0.42724412660592087,11018352,19606608,17575154,209853936,209788743,281208942,281356566
00009GCF_000165045.1_Callorhinchus_milii-6.1.3_Genomic.fna,21204,0.4149551161122489,6338867,12306470,11333358,121733035,121813472,171689196,171686828
00010GCF_000180615.1_FUGU5_Genomic.fna,6835,0.46228637311932586,2508899,5864327,4663383,66324878,66363668,77148065,77190119
00011GCF_000186305.1_Python_molurus_bivittatus-5.0.2_Genomic.fna,39113,0.4097225190367266,13668317,20112616,19770124,210498327,210513858,303275254,303266980
00012GCF_000188235.2_Orenil1.1_Genomic.fna,5678,0.4245179415347064,6672741,13117479,11862136,130069425,130081618,176318340,176345807
00013GCF_000225785.1_LatCha1_Genomic.fna,22819,0.40612681936660944,16104284,22525402,25058789,243896233,243952528,356729080,356644875
00014GCF_000230535.1_PelSin_1.0_Genomic.fna,19904,0.43818129444178106,18287948,26162768,24625600,307896242,307562722,394418767,394698347
00015GCF_000233375.1_ICSASG_v2_Genomic.fna,232155,0.43070486260427165,15383471,22322110,20108951,241715452,241775850,319694662,319372298
00016GCF_000238935.1_Melopsittacus_undulatus_6.3_Genomic.fna,25212,0.4220337945478481,10940659,17628538,16447996,185323261,185468366,253985124,253806035
00017GCF_000238955.2_M_zebra_UMD1_Genomic.fna,3555,0.42421633558176863,6245088,12269420,11186712,122180154,122174732,165830306,165829604
00018GCF_000239375.1_PunNye1.0_Genomic.fna,7236,0.4262846346911449,5774347,11313207,10225012,113065835,113309525,152531809,152135570
